"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 05 15:35:08 GMT+08:00 2020","Wed Aug 05 15:35:08 GMT+08:00 2020","27","cases","test_geteventlist","","","","test_geteventlist02","按照分类检索"
"passed","Wed Aug 05 15:35:08 GMT+08:00 2020","Wed Aug 05 15:35:09 GMT+08:00 2020","129","cases","test_login","","","","test_login02",""
"failed","Wed Aug 05 15:35:08 GMT+08:00 2020","Wed Aug 05 15:35:08 GMT+08:00 2020","20","cases","test_geteventlist","","","","test_geteventlist01","无查询条件"
