"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 15:47:22 GMT+08:00 2020","Wed Aug 05 15:47:22 GMT+08:00 2020","29","cases","test_geteventlist","","","","test_geteventlist02","按照分类检索"
"passed","Wed Aug 05 15:47:22 GMT+08:00 2020","Wed Aug 05 15:47:22 GMT+08:00 2020","45","cases","test_geteventlist","","","","test_geteventlist01","无查询条件"
"passed","Wed Aug 05 15:47:22 GMT+08:00 2020","Wed Aug 05 15:47:22 GMT+08:00 2020","135","cases","test_admin","","","","test_login02",""
