"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 05 15:37:27 GMT+08:00 2020","Wed Aug 05 15:37:27 GMT+08:00 2020","24","cases","test_geteventlist","","","","test_geteventlist02","按照分类检索"
"broken","Wed Aug 05 15:37:26 GMT+08:00 2020","Wed Aug 05 15:37:26 GMT+08:00 2020","39","cases","test_geteventlist","","","","test_geteventlist01","无查询条件"
"broken","Wed Aug 05 15:37:27 GMT+08:00 2020","Wed Aug 05 15:37:27 GMT+08:00 2020","118","cases","test_login","","","","test_login02",""
