"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 05 15:35:39 GMT+08:00 2020","Wed Aug 05 15:35:39 GMT+08:00 2020","26","cases","test_geteventlist","","","","test_geteventlist02","按照分类检索"
"failed","Wed Aug 05 15:35:39 GMT+08:00 2020","Wed Aug 05 15:35:39 GMT+08:00 2020","21","cases","test_geteventlist","","","","test_geteventlist01","无查询条件"
"passed","Wed Aug 05 15:35:39 GMT+08:00 2020","Wed Aug 05 15:35:39 GMT+08:00 2020","135","cases","test_login","","","","test_login02",""
