"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 14:21:59 GMT+08:00 2020","Wed Aug 05 14:21:59 GMT+08:00 2020","39","cases","test_geteventlist","","","","test_geteventlist01","无查询条件"
"passed","Wed Aug 05 14:21:59 GMT+08:00 2020","Wed Aug 05 14:21:59 GMT+08:00 2020","17","cases","test_login","","","","test_login01[密码错误-zhangsan-123456-10000]","正常登录"
"passed","Wed Aug 05 14:21:59 GMT+08:00 2020","Wed Aug 05 14:21:59 GMT+08:00 2020","18","cases","test_login","","","","test_login01[密码为空-zhangsan--10001]","密码错误"
"passed","Wed Aug 05 14:21:59 GMT+08:00 2020","Wed Aug 05 14:21:59 GMT+08:00 2020","28","cases","test_geteventlist","","","","test_geteventlist02","按照分类检索"
"passed","Wed Aug 05 14:21:59 GMT+08:00 2020","Wed Aug 05 14:21:59 GMT+08:00 2020","123","cases","test_login","","","","test_login01[正常登录-zhangsan-MTIzMTIzNDU2-0]",""
