"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 14:38:41 GMT+08:00 2020","Wed Aug 05 14:38:41 GMT+08:00 2020","134","cases","test_login","","","","test_login01[正常登录]",""
"passed","Wed Aug 05 14:38:41 GMT+08:00 2020","Wed Aug 05 14:38:41 GMT+08:00 2020","20","cases","test_login","","","","test_login01[密码为空]",""
"passed","Wed Aug 05 14:38:41 GMT+08:00 2020","Wed Aug 05 14:38:41 GMT+08:00 2020","36","cases","test_geteventlist","","","","test_geteventlist01","无查询条件"
"passed","Wed Aug 05 14:38:41 GMT+08:00 2020","Wed Aug 05 14:38:41 GMT+08:00 2020","31","cases","test_geteventlist","","","","test_geteventlist02","按照分类检索"
"passed","Wed Aug 05 14:38:41 GMT+08:00 2020","Wed Aug 05 14:38:41 GMT+08:00 2020","17","cases","test_login","","","","test_login01[密码错误]",""
